id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
1148,9702041,CRATIS,Yamamaru Kisen KK,Japan,Helios LPG Pool,United Kingdom,Bahamas,LPG,2015,,54656,DNV,Dorian LPG Management Corp,Greece,Dorian LPG Management Corp,Greece,2023-06-26T00:00:00Z
6293,9702065,MSC LETIZIA,China International Marine Containers Group Ltd (CIMC),China,China International Marine Containers Group Ltd (CIMC),China,Panama,Cont,2015,,110800,DNV,MSC Shipmanagement Ltd.,Cyprus,China International Marine Containers Group Ltd (CIMC),China,2022-03-30T00:00:00Z
23456,9702106,MSC BRUNELLA,China International Marine Containers Group Ltd (CIMC),China,China International Marine Containers Group Ltd (CIMC),China,Panama,Cont,2015,,109832,DNV,,,China International Marine Containers Group Ltd (CIMC),China,2020-01-01T00:00:00Z
15443,9702405,GLOVIS SUNRISE,Hyundai Glovis Co Ltd,"Korea, Republic Of",Hyundai Glovis Co Ltd,"Korea, Republic Of",Marshall Islands,PCC,2014,,20056,KR,,,Hyundai Glovis Co Ltd,"Korea, Republic Of",2020-01-01T00:00:00Z
7696,9702716,BBG HONOR,BG Shipping Co Ltd,Hong Kong,BG Shipping Co Ltd,Hong Kong,Hong Kong,Bulk,2015,,81917,NK,An Shun International Ship Management Ltd,Hong Kong,BG Shipping Co Ltd,Hong Kong,2022-01-03T00:00:00Z
18106,9703007,BW GEMINI,BW LPG Ltd,Norway,BW LPG Ltd,Norway,Isle of Man,LPG,2015,,54561,DNV,BW Fleet Management AS,Norway,BW LPG Ltd,Norway,2020-01-01T00:00:00Z
9814,9704611,YM WHOLESOME,Greater China Intermodal Investments LLC,Hong Kong,Greater China Intermodal Investments LLC,Hong Kong,Hong Kong,Cont,2015,,145502,LR,Seaspam Ship Management Ltd,Canada,Greater China Intermodal Investments LLC,Hong Kong,2020-01-01T00:00:00Z
6834,9705055,CMA CGM LITANI,China International Marine Containers Group Ltd (CIMC),China,China International Marine Containers Group Ltd (CIMC),China,Malta,Cont,2014,,112063,BV,CMA CGM International Shipping,Singapore,China International Marine Containers Group Ltd (CIMC),China,2022-03-07T00:00:00Z
23460,9705081,CMA CGM VOLGA,China International Marine Containers Group Ltd (CIMC),China,China International Marine Containers Group Ltd (CIMC),China,Malta,Cont,2015,,113800,BV,CMA CGM International Shipping Co Pte Ltd,Singapore,China International Marine Containers Group Ltd (CIMC),China,2020-01-01T00:00:00Z
21355,9705110,ANDROMEDA,Dalnave Navigation Inc,Greece,Dalnave Navigation Inc,Greece,Cyprus,Bulk,2016,,63459,BV,,,Dalnave Navigation Inc,Greece,2020-01-01T00:00:00Z
19484,9705744,CHEM ALTAMIRA,Ace Tankers CV,Netherlands,Ace Tankers CV,Netherlands,Liberia,Chem,2015,,19996,KR,ASM Maritime BV,Netherlands,Ace Tankers CV,Netherlands,2020-01-01T00:00:00Z
699,9706279,CNC BANGKOK,Neptune Orient Lines Ltd. (NOL),Singapore,CMA CGM Asia Shipping Pte Ltd,Singapore,Malta,Cont,2015,,21718,DNV,Bernhard Schulte Shipmanagement (Deutschland) GmbH & Co KG,Germany,CMA CGM Asia Shipping Pte Ltd,Singapore,2023-08-07T00:00:00Z
18373,9706308,AKADIMOS,Capital Ship Management Corp,Greece,Capital Ship Management Corp,Greece,Malta,Cont,2015,,115145,LR,Capital-Executive Ship Management,Greece,Capital Ship Management Corp,Greece,2020-01-01T00:00:00Z
7954,9706413,NEW COMFORT,China VLCC Co Ltd,Hong Kong,China VLCC Co Ltd,Hong Kong,Hong Kong,Tank,2016,,313999,DNV,Associated Maritime Co. (Hong Kong) Ltd. 'AMCL',Hong Kong,China VLCC Co Ltd,Hong Kong,2021-12-13T00:00:00Z
5501,9706786,AGIA SOFIA,Marmaras Navigation Ltd,Greece,Marmaras Navigation Ltd,Greece,Liberia,Bulk,2016,,82045,CC,Marmaras Navigation Ltd,Greece,Marmaras Navigation Ltd,Greece,2022-05-02T00:00:00Z
7279,9706891,CMA CGM BENJAMIN FRANKLIN,China State Shipbuilding Corp. (CSSC),China,China State Shipbuilding Corp. (CSSC),China,Malta,Cont,2015,,185000,BV,,,China State Shipbuilding Corp. (CSSC),China,2022-02-04T00:00:00Z
1596,9707417,JIN HENG,Jinhui Shipping & Transportation Ltd,Hong Kong,Jinhui Shipping & Transportation Ltd,Hong Kong,Hong Kong,Bulk,2014,,63518,BV,Goldbeam International Ltd,Hong Kong,Goldbeam International Ltd,Hong Kong,2023-05-17T00:00:00Z
9258,9707807,STI OSCEOLA,Scorpio Tankers Inc,Monaco,Scorpio Tankers Inc,Monaco,Marshall Islands,Tank,2015,,49990,ABS,Zenith Gemi Isletmeciligi A.S.,Turkey,Scorpio Tankers Inc,Monaco,2021-01-13T00:00:00Z
2806,9708148,STI SPIGA,Scorpio Tankers Inc,Monaco,Scorpio LR2 Pool (SLR2P) Ltd,Monaco,Marshall Islands,Tank,2015,,109999,DNV,Scorpio Marine Management India Pvt Ltd,India,Scorpio Commercial Management S.A.M.,Monaco,2023-02-22T00:00:00Z
9811,9708473,YM WREATH,Greater China Intermodal Investments LLC,Hong Kong,Greater China Intermodal Investments LLC,Hong Kong,Hong Kong,Cont,2017,,145077,LR,,,Greater China Intermodal Investments LLC,Hong Kong,2020-01-01T00:00:00Z
38513,9708576,STI SOLIDARITY,Scorpio Tankers Inc,Monaco,Scorpio Tankers Inc,Monaco,Marshall Islands,Tank,2015,,109999,ABS,Scorpio Marine Management India Pvt Ltd,India,Scorpio Tankers Inc,Monaco,2020-01-01T00:00:00Z
38518,9708588,STI SOLACE,Scorpio Tankers Inc,Monaco,Scorpio Tankers Inc,Monaco,Marshall Islands,Tank,2016,,109999,ABS,Scorpio Marine Management India Pvt Ltd,India,Scorpio Tankers Inc,Monaco,2020-01-01T00:00:00Z
8601,9708605,K TAEAN,Korea Ship Finance Co. Ltd. (KSF),"Korea, Republic Of",Korea Ship Finance Co. Ltd. (KSF),"Korea, Republic Of",Panama,Bulk,2017,,151000,KR,,,Korea Ship Finance Co. Ltd. (KSF),"Korea, Republic Of",2021-10-12T00:00:00Z
16341,9708928,SHARPNES,Jebsens Rederi ASK,Norway,Jebsens Rederi ASK,Norway,Panama,Bulk,2015,,35510,CC,,,Jebsens Rederi ASK,Norway,2020-01-01T00:00:00Z
8179,9709075,ANTIGONE,Euronav NV,Belgium,Euronav NV,Belgium,Greece,Tank,2015,,299421,LR,Euronav Ship Management SAS,Belgium,Euronav NV,Belgium,2021-11-20T00:00:00Z
3421,9710036,MAGIA,Reederei Zurich AG,Switzerland,Reederei Zurich AG,Switzerland,Switzerland,Bulk,2015,,57586,NK,Reederei Zurich AG,Switzerland,Reederei Zurich AG,Switzerland,2022-12-20T00:00:00Z
7963,9710438,MSC CHANNE,China International Marine Containers Group Ltd (CIMC),China,China International Marine Containers Group Ltd (CIMC),China,Portugal,Cont,2015,,109496,DNV,,,China International Marine Containers Group Ltd (CIMC),China,2021-12-13T00:00:00Z
8098,9711456,ARETEA,Chandris Group,Greece,Chandris Group,Greece,Greece,Tank,2015,,113890,LR,Chandris Hellas Inc,Greece,Chandris Group,Greece,2021-11-30T00:00:00Z
21911,9711523,KITHNOS,Eletson Gas LLC,Greece,Eletson Gas LLC,Greece,Greece,LPG,2016,,15034,LR,Eletson Corp.,Greece,Eletson Gas LLC,Greece,2020-01-01T00:00:00Z
21914,9711535,DILOS,Eletson Gas LLC,Greece,Eletson Gas LLC,Greece,Greece,LPG,2016,,15050,LR,Eletson Corp.,Greece,Eletson Gas LLC,Greece,2020-01-01T00:00:00Z
5027,9712199,TIGER PIONEER,Yangzijiang Shipping Pte Ltd,Singapore,Yangzijiang Shipping Pte Ltd,Singapore,Hong Kong,Bulk,2015,,63462,LR,,,Yangzijiang Shipping Pte Ltd,Singapore,2022-05-24T00:00:00Z
26010,9712321,TORM TORINO,Torm Dampskibsselskabet A/S,Denmark,Torm Dampskibsselskabet A/S,Denmark,Denmark (DIS),Tank,2016,,49757,ABS,Torm Dampskibsselskabet A/S,Denmark,Torm Dampskibsselskabet A/S,Denmark,2020-01-01T00:00:00Z
39561,9712527,CREST HYDRA,Pacific Radiance Ltd.,Singapore,Pacific Radiance Ltd.,Singapore,Singapore,Offs,2014,,2800,BV,,,Pacific Radiance Ltd.,Singapore,2020-01-01T00:00:00Z
