id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
9208,9305697,WAN HAI 626,Kawasaki Kisen K.K. (K Line),Japan,Kawasaki Kisen K.K. (K Line),Japan,Panama,Cont,2006,,71326,NK,Columbia Shipmanagement (Singapore) Pte Ltd,Singapore,Kawasaki Kisen K.K. (K Line),Japan,2021-02-09T00:00:00Z
6695,9807009,PACIFIC EXCELLENCE,China Merchants Energy Shipping Co Ltd (CMES),China,Hong Kong Ming Wah Shipping Co Ltd,Hong Kong,Hong Kong,Bulk,2019,,398351,CC,,,Hong Kong Ming Wah Shipping Co Ltd,Hong Kong,2022-03-14T00:00:00Z
34365,9624029,NOCC OCEANIC,Norwegian Car Carriers ASA (NOCC),Norway,Norwegian Car Carriers ASA (NOCC),Norway,Marshall Islands,PCC,2012,,15770,DNV,,,Norwegian Car Carriers ASA (NOCC),Norway,2020-01-01T00:00:00Z
25148,9594597,STAR CEPHEUS,Star Bulk Carriers Corp,Greece,Star Bulk Carriers Corp,Greece,Marshall Islands,Bulk,2012,,56539,BV,,,Star Bulk Carriers Corp,Greece,2020-01-01T00:00:00Z
7008,9675652,BERGE DAISEN,Shoei Kisen KK,Japan,Shoei Kisen KK,Japan,Panama,Bulk,2014,,207872,NK,Wilhelmsen Ship Management (Korea) Ltd,"Korea, Republic Of",Shoei Kisen KK,Japan,2022-02-25T00:00:00Z
10011,9553139,LUCKY RIVER,Grand Shipping Ltd.,China,Grand Shipping Ltd.,China,Panama,Bulk,2009,,28343,NK,,,Grand Shipping Ltd.,China,2020-01-01T00:00:00Z
29142,9387712,FINNANGER,Westfal-Larsen & Co AS,Norway,Westfal-Larsen & Co AS,Norway,Norway (NIS),Chem,2009,,46251,DNV,Westfal-Larsen Management AS,Norway,Westfal-Larsen & Co AS,Norway,2020-01-01T00:00:00Z
8236,9503237,SAMAIL,Oman Shipping Co. S.A.O.C. (OSC),Oman,Oman Shipping Co. S.A.O.C. (OSC),Oman,Panama,Tank,2011,,299992,ABS,Oman Ship Management Co SAOC,Oman,Oman Shipping Co. S.A.O.C. (OSC),Oman,2021-11-12T00:00:00Z
4467,9475686,HYUNDAI SMART,Danaos Shipping Co Ltd,Greece,HMM Co Ltd,"Korea, Republic Of",Greece,Cont,2012,,141458,DNV,,,HMM Co Ltd,"Korea, Republic Of",2022-07-13T00:00:00Z
41513,9538892,SPARTA III,PK SMU-44 LLC,Russian Federation,PK SMU-44 LLC,Russian Federation,Russia,Gen,2009,,9490,RI,,,PK SMU-44 LLC,Russian Federation,2020-01-01T00:00:00Z
9492,9168465,IRON KOVDOR,Harvester Shipmanagement Ltd.,Cyprus,Harvester Shipmanagement Ltd.,Cyprus,Liberia,Bulk,1998,,72474,NK,Sunrising International Ship Management Ltd,Hong Kong,Harvester Shipmanagement Ltd.,Cyprus,2020-10-22T00:00:00Z
7016,9198317,PHONIX,Kunlun Holding Co. Ltd.,China,Kunlun Holding Co. Ltd.,China,Panama,Tank,2001,,281501,AB,Zhoushan Xinchi Ship Management Co Ltd,China,Kunlun Holding Co. Ltd.,China,2022-02-25T00:00:00Z
21763,9512202,MEGA STAR,Emirates Ship Investment Co LLC (Eships),United Arab Emirates,Emirates Ship Investment Co LLC (Eships),United Arab Emirates,Panama,Bulk,2011,,79200,LR,Fleet Management Ltd - HKG,Hong Kong,Emirates Ship Investment Co LLC (Eships),United Arab Emirates,2020-01-01T00:00:00Z
29719,9066758,POSEIDON M,Vulcanus Technical Maritime Enterprises SA,Greece,Vulcanus Technical Maritime Enterprises SA,Greece,Panama,Bulk,1994,,38858,NK,,,Vulcanus Technical Maritime Enterprises SA,Greece,2020-01-01T00:00:00Z
30998,9745536,BERING GAS,Ultragas (Europe) ApS,Denmark,Ultragas (Europe) ApS,Denmark,Denmark (DIS),LPG,2016,,24244,LR,Ultragas (Europe) ApS,Denmark,Ultragas (Europe) ApS,Denmark,2020-01-01T00:00:00Z
33444,9312987,ONE OLYMPUS,Nippon Yusen Kaisha (N Y K),Japan,Nippon Yusen Kaisha (N Y K),Japan,Singapore,Cont,2008,,104525,NK,MMS Bulkship Management Singapore,Singapore,Nippon Yusen Kaisha (N Y K),Japan,2020-01-01T00:00:00Z
16587,9724386,OCEANIC PROGRESS,Indobaruna Bulk Transport,Indonesia,Indobaruna Bulk Transport,Indonesia,Indonesia,Bulk,2015,,9633,NK,,,Indobaruna Bulk Transport,Indonesia,2020-01-01T00:00:00Z
1699,9332822,NICHOLE,Westport Tankers SA,Greece,Westport Tankers SA,Greece,Hong Kong,Tank,2007,,115577,LR,Sino Ship Management Co Ltd,China,Sino Ship Management Co Ltd,China,2023-05-08T00:00:00Z
5115,9498781,NAVIOS STELLAR,Okouchi Kaiun K K,Japan,Navios Shipmanagement Inc,Greece,Panama,Bulk,2009,,169001,ABS,Navios Technical Management SA,Greece,Navios Shipmanagement Inc,Greece,2022-05-20T00:00:00Z
40055,9575474,SEA INDONESIA,Pan Ocean Co Ltd,"Korea, Republic Of",Pan Ocean Co Ltd,"Korea, Republic Of",Marshall Islands,Bulk,2012,,403727,DNV,,,Pan Ocean Co Ltd,"Korea, Republic Of",2020-01-01T00:00:00Z
8685,9584190,YANGTZE BRILLIANCE,Standard Chartered Bank Plc,United Kingdom,Standard Chartered Bank Plc,United Kingdom,Hong Kong,Bulk,2011,,32323,LR,Yangtze Navigation (Hong Kong) Co. Ltd,China,Standard Chartered Bank Plc,United Kingdom,2021-10-05T00:00:00Z
10169,9499632,HARIN NAVEE 9,Government of the Socialist Republic of Vietnam,Viet Nam,Government of the Socialist Republic of Vietnam,Viet Nam,Vietnam,Gen,2008,,4373,VR,,,Government of the Socialist Republic of Vietnam,Viet Nam,2020-01-01T00:00:00Z
13723,9279666,KIRANA DWITYA,Kharisma Pranedya Shipping,Indonesia,Kharisma Pranedya Shipping,Indonesia,Indonesia,Tank,2004,,18773,NK,,,Kharisma Pranedya Shipping,Indonesia,2020-01-01T00:00:00Z
22975,9861029,AS MARINE ENAM,Citra Armada Nusantara,Indonesia,Citra Armada Nusantara,Indonesia,Indonesia,Tank,2018,,4994,CC,,,Citra Armada Nusantara,Indonesia,2020-01-01T00:00:00Z
39742,9681273,KOTA SEMPENA,Pacific International Lines Pte Ltd,Singapore,Pacific International Lines Pte Ltd,Singapore,Singapore,Cont,2015,,51755,LR,Pacific International Lines (Pte),Singapore,Pacific International Lines Pte Ltd,Singapore,2020-01-01T00:00:00Z
36460,9335812,AS SERENA,MPC Munchmeyer Petersen Capital AG (MPC Capital AG),Germany,MPC Munchmeyer Petersen Capital AG (MPC Capital AG),Germany,Portugal,Cont,2007,,22314,ABS,,,MPC Munchmeyer Petersen Capital AG (MPC Capital AG),Germany,2020-01-01T00:00:00Z
23847,9209128,CAP FERRAT,Cyprus Sea Lines SA,Greece,Cyprus Sea Lines SA,Greece,Cyprus,Bulk,2000,,75595,RI,Seacon Ships Management Co Ltd,Hong Kong,Cyprus Sea Lines SA,Greece,2020-01-01T00:00:00Z
13103,9304502,POSITIVE STAR,Fuyoh Shipping Co.,Japan,Fuyoh Shipping Co.,Japan,Panama,PCC,2004,,15128,NK,Fuyoh Shipping Co.,Japan,Fuyoh Shipping Co.,Japan,2020-01-01T00:00:00Z
4447,9534004,CYAN NOVA,Zodiac Maritime Limited,United Kingdom,Zodiac Maritime Limited,United Kingdom,Liberia,Tank,2011,,318663,LR,Fleet Management Ltd - HKG,Hong Kong,Zodiac Maritime Limited,United Kingdom,2022-07-15T00:00:00Z
12308,9832705,FEDERAL IBUKI,Fednav Ltd.,Canada,Fednav Ltd.,Canada,Panama,Bulk,2018,,63386,NK,,,Fednav Ltd.,Canada,2020-01-01T00:00:00Z
9301,9620164,SAM LION,Shipping Asset Management (SAM),United Kingdom,Shipping Asset Management (SAM),United Kingdom,Liberia,Bulk,2012,,57200,CC,,,Shipping Asset Management (SAM),United Kingdom,2020-12-22T00:00:00Z
20882,9366299,HANSA TROMSOE,Diamond S Shipping LLC (Dissolved),United States of America,Diamond S Shipping LLC (Dissolved),United States of America,Hong Kong,Tank,2008,,51603,KR,Executive Ship Management Pte. Ltd.,Singapore,Diamond S Shipping LLC (Dissolved),United States of America,2020-01-01T00:00:00Z
