id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
30167,9299317,YM HAWK,Yang Ming Marine Transport Corp,"Taiwan, Province Of China",Yang Ming Marine Transport Corp,"Taiwan, Province Of China",Taiwan,Cont,2005,,19104,ABS,,,Yang Ming Marine Transport Corp,"Taiwan, Province Of China",2020-01-01T00:00:00Z
5721,9299628,CMA CGM OTELLO,CMA CGM SA The French Line,France,CMA CGM SA The French Line,France,France (FIS),Cont,2005,,101818,BV,,,CMA CGM SA The French Line,France,2022-04-19T00:00:00Z
24129,9299642,CMA CGM FIDELIO,CMA CGM Holding,France,CMA CGM Holding,France,France,Cont,2006,,108000,DNV,CMA Ships SAS,France,CMA CGM Holding,France,2020-01-01T00:00:00Z
6475,9299654,CMA CGM RIGOLETTO,CMA CGM Holding,France,CMA CGM Holding,France,France,Cont,2006,,114004,DNV,,,CMA CGM Holding,France,2022-03-23T00:00:00Z
38021,9299757,KHAWR ALADID,Qatar Shipping Co. (Q. Ship),Qatar,Qatar Shipping Co. (Q. Ship),Qatar,Qatar,Tank,2006,,106003,DNV,Milaha Ship Management WLL,Qatar,Qatar Shipping Co. (Q. Ship),Qatar,2020-01-01T00:00:00Z
7920,9299771,KANPUR,Foresight Marine Ltd,United Kingdom,Foresight Marine Ltd,United Kingdom,Liberia,Tank,2005,,106094,DNV,Stalwart Management Ltd,Greece,Foresight Marine Ltd,United Kingdom,2021-12-15T00:00:00Z
4996,9299795,CMA CGM TRAVIATA,CMA CGM Holding,France,CMA CGM Holding,France,France,Cont,2006,,101779,BV,,,CMA CGM Holding,France,2022-05-25T00:00:00Z
13567,9299848,PACIFIC 8,Kim Heng Group of Companies,Singapore,Kim Heng Group of Companies,Singapore,Singapore,Offs,2004,,1867,ABS,,,Kim Heng Group of Companies,Singapore,2020-01-01T00:00:00Z
26551,9299886,NCC HIJAZ,The National Shipping Company of Saudi Arabia (BAHRI),Saudi Arabia,The National Shipping Company of Saudi Arabia (BAHRI),Saudi Arabia,Saudi Arabia,Tank,2005,,45956,DNV,Mideast Ship Management Ltd.,United Arab Emirates,The National Shipping Company of Saudi Arabia (BAHRI),Saudi Arabia,2020-01-01T00:00:00Z
5840,9299927,MAERSK SEVILLE,Moller AP,Denmark,Moller AP,Denmark,Singapore,Cont,2006,,97552,LR,,,Moller AP,Denmark,2022-04-13T00:00:00Z
41298,9299941,AMARIN INDAH,Patria Nusasegara PT,Indonesia,Patria Nusasegara PT,Indonesia,Japan,Tank,2005,,106650,BV,Arcadia Shipping Pte Ltd,Singapore,Patria Nusasegara PT,Indonesia,2020-01-01T00:00:00Z
6487,9300142,BIG BREEZY,Regional Container Lines Public Company Ltd,Thailand,Regional Container Lines Public Company Ltd,Thailand,Singapore,Cont,2005,,24226,DNV,,,Regional Container Lines Public Company Ltd,Thailand,2022-03-23T00:00:00Z
26627,9300221,THOR MERCURY,Thoresen Thai Agencies Public Co. Ltd.,Thailand,Thoresen Thai Agencies Public Co. Ltd.,Thailand,Singapore,Bulk,2005,,55862,NK,,,Thoresen Thai Agencies Public Co. Ltd.,Thailand,2020-01-01T00:00:00Z
9267,9300245,ZIRCON,Scomi Marine BHD,Malaysia,Scomi Marine BHD,Malaysia,Singapore,Offs,2004,,1623,ABS,,,Scomi Marine BHD,Malaysia,2021-01-12T00:00:00Z
12058,9300441,EVER STRONG,Evergreen Marine Corp Ltd,"Taiwan, Province Of China",Evergreen Marine Corp Ltd,"Taiwan, Province Of China",Singapore,Cont,2007,,78715,ABS,Evergreen Marine Corp.,"Taiwan, Province Of China",Evergreen Marine Corp Ltd,"Taiwan, Province Of China",2020-01-01T00:00:00Z
14937,9300544,ROSEANNE,Koyo Kaiun Co Ltd,Japan,Koyo Kaiun Co Ltd,Japan,Panama,Chem,2003,,12083,NK,Green Wave Shipping Pte Ltd,Singapore,Koyo Kaiun Co Ltd,Japan,2020-01-01T00:00:00Z
8592,9300788,CHANG YOUNG,Jeil International Co. Ltd.,"Korea, Republic Of",Jeil International Co. Ltd.,"Korea, Republic Of",South Korea,Chem,2005,,12975,KR,Jeil International Co. Ltd.,"Korea, Republic Of",Jeil International Co. Ltd.,"Korea, Republic Of",2021-10-12T00:00:00Z
40233,9300817,SALALAH LNG,Oman Shipping Co. S.A.O.C. (OSC),Oman,Oman Shipping Co. S.A.O.C. (OSC),Oman,Panama,LNG,2005,,81034,NK,Oman Ship Management Co SAOC,Oman,Oman Shipping Co. S.A.O.C. (OSC),Oman,2020-01-01T00:00:00Z
8318,9300946,MIGHTY BOSS,Toda Kisen KK (Toda Ship Co Ltd),Japan,Toda Kisen KK (Toda Ship Co Ltd),Japan,Panama,Gen,2004,,10072,NK,,,Toda Kisen KK (Toda Ship Co Ltd),Japan,2021-11-02T00:00:00Z
21526,9300972,AS CLARITA,DEAD - Ahrenkiel Ship Management GmbH & Co KG (DEAD),Germany,DEAD - Ahrenkiel Ship Management GmbH & Co KG (DEAD),Germany,Portugal,Cont,2006,,38609,DNV,Wilhelmsen Ahrenkiel Ship Management GmbH & Co KG,Germany,DEAD - Ahrenkiel Ship Management GmbH & Co KG (DEAD),Germany,2020-01-01T00:00:00Z
19137,9301029,AMBROSIA,Alberta Shipmanagement Ltd,Greece,Alberta Shipmanagement Ltd,Greece,Bahamas,Tank,2006,,105363,DNV,Alberta Shipmanagement Ltd,Greece,Alberta Shipmanagement Ltd,Greece,2020-01-01T00:00:00Z
38585,9301093,X-PRESS GANGES,Sea Consortium Pte Ltd (X-Press Feeders),Singapore,Sea Consortium Pte Ltd (X-Press Feeders),Singapore,Singapore,Cont,2006,,10746,KR,,,Sea Consortium Pte Ltd (X-Press Feeders),Singapore,2020-01-01T00:00:00Z
38803,9301196,RIVA WIND,Seamax Marine Inc,Greece,Seamax Marine Inc,Greece,Marshall Islands,Bulk,2005,,53533,NK,Seamax Marine Inc,Greece,Seamax Marine Inc,Greece,2020-01-01T00:00:00Z
30170,9301263,YM HORIZON,Yang Ming Marine Transport Corp,"Taiwan, Province Of China",Yang Ming Marine Transport Corp,"Taiwan, Province Of China",Taiwan,Cont,2005,,19104,ABS,,,Yang Ming Marine Transport Corp,"Taiwan, Province Of China",2020-01-01T00:00:00Z
30165,9301275,YM HEIGHTS,Yang Ming Marine Transport Corp,"Taiwan, Province Of China",Yang Ming Marine Transport Corp,"Taiwan, Province Of China",Taiwan,Cont,2005,,19104,ABS,,,Yang Ming Marine Transport Corp,"Taiwan, Province Of China",2020-01-01T00:00:00Z
38085,9301366,ERAWAN 12,PT Pelayaran Sakti Erawan,Indonesia,PT Pelayaran Sakti Erawan,Indonesia,Indonesia,Chem,2003,,6689,NK,Arcadia Shipping PT,Indonesia,PT Pelayaran Sakti Erawan,Indonesia,2020-01-01T00:00:00Z
5415,9301495,MSC BILBAO,Hammonia Reederei GmbH & Co. KG,Germany,Hammonia Reederei GmbH & Co. KG,Germany,Portugal,Cont,2006,,102759,LR,,,Hammonia Reederei GmbH & Co. KG,Germany,2022-05-04T00:00:00Z
36141,9301615,SARA II,Marine & Offshore Solution Sdn Bhd,Malaysia,Marine & Offshore Solution Sdn Bhd,Malaysia,Malaysia,Tank,2004,,1504,LR,Nouri Alwan Marine Surveyors & Consultancy AS,United Arab Emirates,Marine & Offshore Solution Sdn Bhd,Malaysia,2020-01-01T00:00:00Z
1196,9301859,RENA P,Eurobulk Ltd,Greece,Eurobulk Ltd,Greece,Marshall Islands,Cont,2007,,50689,ABS,Eurobulk Ltd,Greece,Eurobulk Ltd,Greece,2023-06-21T00:00:00Z
3742,9301976,NAVE CIELO,Navios Maritime Acquisition Corp. (NNA),Greece,Navios Tankers Management Inc,Greece,Cayman Islands,Tank,2007,,74896,NK,Navios Tankers Management Inc,Greece,Navios Tankers Management Inc,Greece,2022-10-31T00:00:00Z
21060,9301988,RITA,Dohle Peter Schiffahrts Gmbh & Co. KG,Germany,Dohle Peter Schiffahrts Gmbh & Co. KG,Germany,Portugal,Cont,2007,,37213,LR,Peter Doehle Schiffahrts-KG,Germany,Dohle Peter Schiffahrts Gmbh & Co. KG,Germany,2020-01-01T00:00:00Z
5078,9302073,GEORGE WASHINGTON BRIDGE,Kawasaki Kisen K.K. (K Line),Japan,Kawasaki Kisen K.K. (K Line),Japan,Panama,Cont,2006,,71309,NK,,,Kawasaki Kisen K.K. (K Line),Japan,2022-05-23T00:00:00Z
9447,9302085,GREENWICH BRIDGE,Kawasaki Kisen K.K. (K Line),Japan,Kawasaki Kisen K.K. (K Line),Japan,Panama,Cont,2006,,57440,BV,,,Kawasaki Kisen K.K. (K Line),Japan,2020-11-10T00:00:00Z
5045,9302097,GLEN CANYON,Kawasaki Kisen K.K. (K Line),Japan,Kawasaki Kisen K.K. (K Line),Japan,Liberia,Cont,2006,,71291,NK,,,Kawasaki Kisen K.K. (K Line),Japan,2022-05-23T00:00:00Z
13309,9302138,ONE HANNOVER,Kawasaki Kisen K.K. (K Line),Japan,Kawasaki Kisen K.K. (K Line),Japan,Panama,Cont,2006,,98849,NK,K Line Ship Management Pte Ltd,Singapore,Kawasaki Kisen K.K. (K Line),Japan,2020-01-01T00:00:00Z
