"date_","day_part_segment","geo_subcategory","shipcategory","shipcount"
"1/1/2021","Early_Morning","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2021","Early_Morning","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2021","Early_Morning","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2021","Early_Morning","Port Pasir Panjang","CARGO","17"
"1/1/2021","Early_Morning","Port Pasir Panjang","PASSENGER","0"
"1/1/2021","Early_Morning","Port Pasir Panjang","TANKER","6"
"1/1/2021","Early_Morning","Port Tanjong Pagar","CARGO","1"
"1/1/2021","Early_Morning","Port Tanjong Pagar","PASSENGER","0"
"1/1/2021","Early_Morning","Port Tanjong Pagar","TANKER","0"
"1/1/2021","Early_Morning","Port Tuas","CARGO","2"
"1/1/2021","Early_Morning","Port Tuas","PASSENGER","0"
"1/1/2021","Early_Morning","Port Tuas","TANKER","3"
"1/1/2021","Early_Morning","Sea","CARGO","41"
"1/1/2021","Early_Morning","Sea","PASSENGER","0"
"1/1/2021","Early_Morning","Sea","TANKER","110"
"1/1/2021","Evening","Land","CARGO","0"
"1/1/2021","Evening","Land","PASSENGER","0"
"1/1/2021","Evening","Land","TANKER","0"
"1/1/2021","Evening","Port Brani","CARGO","0"
"1/1/2021","Evening","Port Brani","PASSENGER","0"
"1/1/2021","Evening","Port Brani","TANKER","0"
"1/1/2021","Evening","Port Bukom","CARGO","1"
"1/1/2021","Evening","Port Bukom","PASSENGER","0"
"1/1/2021","Evening","Port Bukom","TANKER","8"
"1/1/2021","Evening","Port Jurong Island","CARGO","5"
"1/1/2021","Evening","Port Jurong Island","PASSENGER","0"
"1/1/2021","Evening","Port Jurong Island","TANKER","20"
"1/1/2021","Evening","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2021","Evening","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2021","Evening","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2021","Evening","Port Pasir Panjang","CARGO","24"
"1/1/2021","Evening","Port Pasir Panjang","PASSENGER","0"
"1/1/2021","Evening","Port Pasir Panjang","TANKER","10"
"1/1/2021","Evening","Port Tanjong Pagar","CARGO","0"
"1/1/2021","Evening","Port Tanjong Pagar","PASSENGER","0"
"1/1/2021","Evening","Port Tanjong Pagar","TANKER","0"
"1/1/2021","Evening","Port Tuas","CARGO","0"
