date_,geo_subcategory,shipcategory,avgspeed,sdspeed,minspeed,maxspeed
10/1/2021,Port Tanjong Pagar,TANKER,,,,
10/1/2021,Port Tanjong Pagar,PASSENGER,,,,
10/1/2021,Port Jurong Island,CARGO,3.626923077,3.243893672,0,9.4
10/1/2021,Port Jurong Island,TANKER,1.467013889,2.681811645,0,11.4
10/1/2021,Port Jurong Island,PASSENGER,,,,
10/1/2021,Port Tuas,CARGO,0,,0,0
10/1/2021,Port Tuas,TANKER,0.530769231,1.506192346,0,6.2
10/1/2021,Port Tuas,PASSENGER,,,,
10/1/2021,Port Marina Bay Cruise Centre,CARGO,,,,
10/1/2021,Port Marina Bay Cruise Centre,TANKER,,,,
10/1/2021,Port Marina Bay Cruise Centre,PASSENGER,,,,
10/1/2021,Port Pasir Panjang,CARGO,0.875263158,1.790175624,0,9.7
10/1/2021,Port Pasir Panjang,TANKER,0.815966387,1.5140015,0,7.5
10/1/2021,Port Pasir Panjang,PASSENGER,,,,
10/1/2021,Port Brani,CARGO,,,,
10/1/2021,Port Brani,TANKER,,,,
10/1/2021,Port Brani,PASSENGER,,,,
10/1/2021,Sea,CARGO,7.284587814,7.556276887,0,101.3
10/1/2021,Sea,TANKER,3.198629415,4.239777756,0,19.8
10/1/2021,Sea,PASSENGER,,,,
10/12/2019,Port Bukom,CARGO,8.6625,3.353862379,3.5,12.2
10/12/2019,Port Bukom,TANKER,2.418421053,3.189721431,0,10.4
10/12/2019,Port Bukom,PASSENGER,,,,
10/12/2019,Port Tanjong Pagar,CARGO,1.475,1.590335394,0.4,3.8
10/12/2019,Port Tanjong Pagar,TANKER,,,,
10/12/2019,Port Tanjong Pagar,PASSENGER,,,,
10/12/2019,Port Jurong Island,CARGO,5.475,3.21674952,0,14.9
10/12/2019,Port Jurong Island,TANKER,1.994962487,3.209716726,0,13.6
10/12/2019,Port Jurong Island,PASSENGER,,,,
10/12/2019,Port Tuas,CARGO,1.483333333,2.447147199,0,6.5
10/12/2019,Port Tuas,TANKER,3.197297297,3.699285703,0,11.5
10/12/2019,Port Tuas,PASSENGER,,,,
